CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,AccX,AccY,AccZ,GyX,GyY,GyZ,TimeStamp
198886.7229,207570.5945,206659.3002,206976.5162,208573.6775,210505.965,208296.0503,191230.3037,65.4904264,188.8448195,150.8715914,0.008781716,0.00381249,0.002644036,59:08.9
199408.1759,207436.7436,206535.3744,206844.4362,208416.5593,210310.8406,208206.2918,191747.6848,64.37864384,188.0342083,150.6837102,0.007082013,0.004679187,0.004385731,59:09.1
200272.3018,207620.8242,206679.6232,206960.6542,208627.9571,210424.7106,208417.1774,192630.3143,66.7252656,177.5891656,142.6492592,0.506744308,0.048171263,0.043410533,59:09.3
201128.6279,207705.4319,206791.2511,207084.9395,208789.3792,210537.3523,208696.5281,193612.2776,67.2758464,225.048376,105.6980848,1.087616845,0.132929347,0.15794149,59:09.5
201630.1352,207590.5148,206647.9646,206930.302,208542.5986,210373.918,208618.3497,194232.1279,70.96583648,189.6402928,117.8140365,1.412232713,0.11079708,0.231477435,59:09.7
202207.6778,207313.2695,206395.8141,206710.0224,208280.1862,210099.4603,208528.4147,194883.6304,65.431828,180.7506714,145.1753386,1.311793029,0.133385889,0.189766604,59:09.9
203667.2869,207741.7144,206731.8084,207035.4544,208706.2577,210521.7766,208998.3561,196310.1474,59.08757456,155.2653726,186.8458816,0.539566978,0.045097541,0.043695201,59:10.1
206164.7603,208883.9053,207745.3731,208053.7159,209937.5401,211907.2178,210371.1447,198883.2817,57.72223184,116.9738819,212.616115,0.231689837,0.023106874,0.030539473,59:10.3
207783.2037,209203.0777,207951.7698,208299.4125,210397.3504,212420.1192,211031.9984,200668.3951,54.13381232,110.0729437,218.356927,0.036212798,0.018456496,0.051060904,59:10.5
208877.9629,209074.9254,207685.7221,208073.0851,210426.2215,212581.316,211358.1044,202142.1346,53.43905504,112.022195,218.4946333,0.018668409,0.010262181,0.026831474,59:10.7
210059.8065,208832.4367,207219.0599,207673.6706,210405.7496,212814.898,211886.5694,203963.5594,50.0296048,111.6830568,219.8087024,0.016591754,0.007119122,0.012297332,59:10.9
211018.0545,208573.948,206884.3503,207373.035,210300.0194,212878.314,212385.4018,205739.9758,47.95680848,114.0106341,220.5599827,0.027110282,0.009260718,0.016003377,59:11.1
211642.288,208386.4174,206717.6475,207204.2638,210162.9132,212828.4872,212661.003,207221.4861,47.99794944,115.7965424,218.1711213,0.02691204,0.006935529,0.004457508,59:11.3
212108.8369,208248.5046,206585.6954,207077.6929,210054.9746,212754.9018,212734.7136,208497.0924,60.3551312,130.57982,234.9279442,0.126940593,0.043686412,0.07631084,59:11.5
212715.6382,208011.1626,206245.099,206764.8495,209870.9319,213156.7198,212424.6279,209382.8103,101.5245358,92.67056176,267.529164,0.556037151,0.129442051,0.250932951,59:11.7
212879.4295,207962.4176,206442.3504,206857.2846,209725.6011,213350.5381,212120.6191,209898.1268,46.93780672,49.58010624,231.4143597,0.904928347,0.348212976,0.104821021,59:11.9
212348.3195,208235.4419,207163.7551,207336.9016,209271.0954,213144.0473,211705.4916,209749.6454,14.3907904,61.7157128,205.610188,0.647928029,0.305643749,0.236725468,59:12.1
211455.5531,208941.8526,208318.5531,208399.6633,208455.5081,211839.119,211208.1364,208917.1011,11.70442,133.0220304,191.5215456,0.700247231,0.164870183,0.091020275,59:12.3
210366.2353,209600.3092,209252.7206,209265.6515,208238.4242,210455.3117,210599.6486,207630.5538,12.84074064,197.3021557,157.7783894,0.388328596,0.100978257,0.043072155,59:12.5
209499.0845,209959.9669,209707.5665,209675.8726,208665.6503,209476.2013,209960.4988,206440.5455,18.849152,216.8420363,134.9360006,0.374624529,0.032142496,0.068673164,59:12.7
208780.5618,209975.3901,209691.649,209675.7385,208872.1448,209366.3015,209402.2263,205426.6137,23.04394288,231.1151416,108.2425982,0.24409459,0.019004346,0.084256132,59:12.9
207261.7949,209179.8433,208991.7777,208943.9672,208169.5469,208507.8631,208239.7487,203809.4107,29.27319696,237.9733518,101.1404722,0.196980453,0.053990096,0.062870445,59:13.1
205450.0556,208515.9963,208518.229,208376.6166,206944.0028,207036.2488,206901.1511,202257.8732,26.81474992,226.1066875,117.4045802,0.200778295,0.136009417,0.138548962,59:13.3
204630.8863,208521.039,208466.8608,208308.3996,206187.7519,205500.504,206301.6236,201578.6187,24.0912672,219.6915056,133.35714,0.074909476,0.05501939,0.03063957,59:13.5
204406.7064,208043.6951,207833.3999,207780.8764,205971.4646,205531.7872,205841.5305,201187.3957,20.1578496,212.6407752,136.787588,0.057458349,0.047553589,0.015231895,59:13.7
204537.2064,207818.9423,207480.1642,207380.5221,206036.4079,206218.6605,205662.0666,201125.5195,20.08203792,215.0285379,140.3077648,0.089867446,0.017643998,0.039555075,59:13.9
205814.3184,208844.7687,208438.3427,208408.63,207196.0362,207975.2646,206810.1591,202151.8409,22.12345968,202.0046773,162.3799509,0.807712288,0.067932443,0.061761072,59:14.1
207466.6649,210280.3796,209963.1116,209926.1818,209072.3058,209493.8443,208388.0268,203461.7337,21.68653536,96.62632,227.4408998,0.81483141,0.111748737,0.055142925,59:14.3
207572.3798,210422.6567,210023.1222,209972.935,209478.2776,209785.869,208556.8333,203276.1022,15.5548232,38.93143408,247.8184934,0.363199266,0.059539398,0.022207951,59:14.5
