CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,AccX,AccY,AccZ,GyX,GyY,GyZ
86991.3128,99211.99432,106892.6234,102871.7607,115275.347,98441.80207,58849.12853,67677.73476,0.52628688,13.65391552,247.1866074,0.00503905,0.004282216,0.005642075
86861.66297,99057.97923,106746.1742,102720.9045,115114.1393,98340.23407,58807.76304,67594.5513,0.50626576,13.89245984,247.1929555,0.005911118,0.00387206,0.006027817
86744.79183,98935.53105,106627.9733,102603.2157,115004.9144,98233.06652,58767.98609,67516.13301,0.66582432,13.7120256,247.0327866,0.00568895,0.003682119,0.005201159
86680.10099,98895.50006,106605.2157,102576.0474,114960.6875,98154.5165,58732.00078,67476.88755,0.64384992,13.660752,247.2049194,0.006160629,0.003813955,0.005661118
86582.95437,98774.79234,106475.787,102444.8778,114840.5378,98047.67059,58707.74809,67430.94975,0.58244368,13.63926592,247.169272,0.007077619,0.00383251,0.005901352
86509.93936,98689.21501,106398.6878,102357.9926,114753.8716,97948.36707,58698.73304,67384.08135,0.57829296,13.54306688,247.1201958,0.005968246,0.003712393,0.005119128
86443.15435,98618.95367,106337.241,102295.402,114691.941,97884.74082,58679.51521,67344.73098,0.71197056,13.55442032,247.1458326,0.004729968,0.003439444,0.005193346
86396.40408,98587.23102,106322.2443,102274.2017,114662.05,97808.52379,58658.68811,67319.94766,0.58403072,13.486788,247.1778176,0.005284654,0.003523428,0.005072253
86371.6736,98549.61194,106286.1038,102230.6733,114626.5466,97757.18847,58665.8992,67326.93203,0.60380768,13.62254096,247.1530354,0.005944809,0.003309562,0.006006821
86341.87891,98512.20181,106256.2452,102196.8401,114590.5202,97726.74525,58669.68819,67311.99661,0.5579056,13.3976696,247.2004024,0.005145983,0.003653311,0.00549315
86281.45097,98416.92516,106158.6377,102096.2809,114499.6575,97670.39393,58681.47468,67294.56928,0.61125456,13.51962752,247.0830835,0.004979479,0.003672354,0.004991686
86186.15381,98307.81423,106054.782,101989.3816,114390.9074,97592.27976,58667.02452,67250.82552,0.46549104,13.47689952,247.1482742,0.005697251,0.003299308,0.005620591
86118.1492,98237.75673,105992.9956,101923.7391,114322.4731,97520.45536,58650.79628,67207.22144,0.43436064,13.59751456,247.0637949,0.005421373,0.003887197,0.005309557
86064.02024,98166.80482,105931.643,101857.6304,114256.0083,97464.62859,58647.3205,67179.34965,0.61674816,13.51157024,247.1309389,0.005228014,0.003574698,0.005513658
85994.76252,98088.45118,105854.8566,101779.5944,114173.4045,97421.18057,58639.62393,67151.54365,0.47940816,13.68846416,247.1142139,0.005095202,0.003719229,0.005776352
85918.69381,97986.59929,105759.7628,101682.6832,114077.7271,97370.87678,58615.27211,67098.95259,0.56608496,13.7700136,247.0673352,0.006447737,0.003611807,0.005952133
